OrderID,SupplierID,SupplierName,CustomerID,CustomerName,QuantityOrdered,OrderDate,ShipDate,OrderStatus,UnitPrice,TotalCost,InventoryLevel,WarehouseLocation
ORD0035,S191,"Scott, Simon and Berger",C028,Michelle Rose,10,2025-02-04,2025-01-15,Shipped,131,1310,16,SF Warehouse
ORD0036,S1103,West and Sons,C043,Dustin Thomas,9,2025-01-15,2025-01-02,Delivered,995,8955,39,SF Warehouse
ORD0037,S861,Young Ltd,C671,Michael Goodwin,9,2025-02-19,2025-01-15,Pending,114,1026,71,NY Warehouse
ORD0038,S726,Shea and Sons,C912,Jesse Stephens,5,2025-01-05,2025-02-23,Pending,521,2605,175,LA Warehouse
ORD0039,S426,Taylor-Kelley,C035,Hannah Matthews,3,2025-02-19,2025-01-28,Delivered,112,336,153,SF Warehouse
ORD0040,S162,Harris LLC,C825,Craig Garcia,7,2025-02-18,2025-01-12,Shipped,188,1316,171,SF Warehouse
ORD0041,S454,"Martin, Herrera and Cardenas",C703,Jeffery Carter,7,2025-01-20,2025-01-13,Shipped,125,875,110,LA Warehouse
ORD0042,S252,Williams Inc,C896,Oscar Cook,3,2025-02-16,2025-03-03,Delivered,298,894,55,SF Warehouse
ORD0043,S990,Martinez-Hamilton,C101,Ashley Wheeler,2,2025-01-08,2025-02-03,Shipped,720,1440,18,SF Warehouse
ORD0044,S1098,Rodriguez LLC,C358,Diane Kim,2,2025-02-13,2025-02-27,Shipped,533,1066,124,NY Warehouse
ORD0045,S926,"Rodriguez, Tyler and Barber",C678,Nicholas Blake,7,2025-02-18,2025-02-20,Pending,68,476,64,SF Warehouse
ORD0046,S1058,Todd LLC,C702,Louis Stephens,6,2025-02-24,2025-02-02,Shipped,727,4362,76,NY Warehouse
ORD0047,S609,Cantu-Goodman,C896,Oscar Cook,3,2025-02-17,2025-02-07,Delivered,685,2055,58,NY Warehouse
ORD0048,S612,"Howard, Powell and Steele",C1020,Jamie Brown,9,2025-01-09,2025-02-19,Delivered,858,7722,180,NY Warehouse
ORD0049,S040,Martin-Lewis,C603,Pamela Flores,9,2025-02-20,2025-01-18,Delivered,679,6111,182,NY Warehouse
ORD0050,S1131,"Rice, Ryan and Clark",C775,Lauren Brown,4,2025-02-19,2025-02-09,Pending,585,2340,77,SF Warehouse
ORD0051,S315,Saunders-Lewis,C127,Natasha Lewis,1,2025-01-18,2025-02-05,Delivered,614,614,141,LA Warehouse
ORD0052,S673,Chavez PLC,C290,William Hunt,1,2025-01-09,2025-02-09,Shipped,526,526,21,SF Warehouse
ORD0053,S293,Wright Group,C781,Randall Gibson,7,2025-02-18,2025-02-23,Pending,269,1883,146,SF Warehouse
ORD0054,S041,Rich-Bush,C1196,Heather Lee,4,2025-02-13,2025-01-17,Delivered,905,3620,50,NY Warehouse
ORD0055,S108,Williams Group,C1080,Mrs. Ashley Floyd,2,2025-01-11,2025-02-05,Delivered,477,954,72,LA Warehouse
ORD0056,S877,Smith Group,C841,Patricia Parker,1,2025-02-21,2025-01-09,Shipped,155,155,67,LA Warehouse
ORD0057,S606,Larson Inc,C1081,Julia Mcguire,9,2025-01-26,2025-01-31,Delivered,669,6021,150,NY Warehouse
ORD0058,S149,Murphy LLC,C544,John Patterson,1,2025-02-22,2025-01-09,Pending,654,654,8,LA Warehouse
ORD0059,S800,Fisher PLC,C719,Sheryl Harmon,8,2025-02-28,2025-02-08,Shipped,994,7952,42,NY Warehouse
ORD0060,S774,Hall Ltd,C914,Kimberly Anderson,7,2025-03-03,2025-01-17,Delivered,601,4207,74,LA Warehouse
ORD0061,S638,Taylor and Sons,C267,Lindsay Jones,5,2025-02-17,2025-01-05,Delivered,210,1050,42,LA Warehouse
ORD0062,S088,"Lopez, Robertson and Hall",C1066,Alicia Hart,3,2025-01-12,2025-02-10,Shipped,398,1194,184,LA Warehouse
ORD0063,S057,"Jennings, Fowler and Nelson",C704,Leslie Williams,6,2025-01-14,2025-02-21,Delivered,43,258,9,LA Warehouse
ORD0064,S771,Green Group,C1144,John Rangel,1,2025-01-15,2025-01-20,Pending,197,197,192,SF Warehouse
ORD0065,S367,Thomas-Alvarez,C999,Mary Wyatt,7,2025-01-03,2025-01-13,Pending,749,5243,108,NY Warehouse
ORD0066,S208,Mercado Group,C442,Tyler Strickland,4,2025-01-22,2025-01-06,Shipped,754,3016,155,NY Warehouse
ORD0067,S585,Lee Ltd,C808,Susan Swanson,9,2025-01-20,2025-02-10,Delivered,588,5292,179,LA Warehouse
ORD0068,S1150,Pierce-Carter,C822,Philip Mason,9,2025-01-22,2025-01-28,Pending,55,495,8,LA Warehouse
ORD0069,S353,"Vasquez, Lara and Roberts",C441,Susan Clark,7,2025-01-26,2025-02-08,Shipped,800,5600,72,LA Warehouse
ORD0070,S231,"Johnson, Romero and Robinson",C547,Ralph Johnson,10,2025-02-04,2025-01-18,Pending,338,3380,144,NY Warehouse
ORD0071,S381,"Graham, Smith and Powell",C130,Mark Kline,7,2025-01-24,2025-02-23,Delivered,851,5957,28,NY Warehouse
ORD0072,S549,"Beard, Garrison and Randall",C546,Andrew Tucker,6,2025-01-15,2025-01-16,Delivered,798,4788,14,NY Warehouse
ORD0073,S563,"White, Schwartz and Fletcher",C882,Julie Wolfe,4,2025-02-07,2025-01-12,Delivered,265,1060,147,LA Warehouse
ORD0074,S986,Oconnell LLC,C820,Melinda Brock,7,2025-01-26,2025-01-22,Delivered,59,413,64,SF Warehouse
ORD0075,S899,Owens Group,C696,Joshua Roberts,1,2025-03-01,2025-02-02,Shipped,806,806,72,NY Warehouse
ORD0076,S770,Lopez-Griffin,C930,Brandon Hughes,2,2025-02-01,2025-02-18,Pending,342,684,143,NY Warehouse
ORD0077,S401,Myers Ltd,C337,Jonathan Anderson,9,2025-01-05,2025-03-05,Shipped,686,6174,73,SF Warehouse
ORD0078,S573,"Collins, Little and Gardner",C799,Bryan Schultz,5,2025-03-04,2025-02-05,Shipped,395,1975,186,SF Warehouse
ORD0079,S198,Rodriguez-Cole,C1045,Monica Hansen,3,2025-01-15,2025-01-07,Delivered,97,291,158,NY Warehouse
ORD0080,S041,Rich-Bush,C395,Andre Walker,1,2025-01-01,2025-01-19,Delivered,423,423,193,NY Warehouse
ORD0081,S1176,"Thompson, Williams and Wood",C909,Robert King,6,2025-01-23,2025-02-06,Shipped,381,2286,86,LA Warehouse
ORD0082,S386,Williams-Reid,C262,Laura Bryant,1,2025-02-16,2025-02-19,Shipped,693,693,123,NY Warehouse
ORD0083,S858,Murphy-Cortez,C201,David Dyer,2,2025-02-08,2025-01-12,Shipped,212,424,83,LA Warehouse
ORD0084,S694,Miller and Sons,C327,Edwin Wise,8,2025-02-21,2025-01-10,Shipped,514,4112,164,LA Warehouse
ORD0085,S1151,Adams LLC,C1068,Marcus Jackson,4,2025-01-07,2025-01-22,Delivered,652,2608,149,NY Warehouse
ORD0086,S322,Phelps Ltd,C605,Jackson Stevens,6,2025-01-24,2025-03-01,Pending,607,3642,142,NY Warehouse
ORD0087,S1102,Fox-Baker,C1000,Linda Williams,10,2025-01-24,2025-02-03,Delivered,172,1720,135,LA Warehouse
ORD0088,S1187,Mullins Inc,C013,Jessica Holder,8,2025-02-01,2025-01-31,Shipped,905,7240,41,NY Warehouse
ORD0089,S368,"Liu, Hobbs and Contreras",C792,Wendy Barron,7,2025-02-06,2025-01-04,Delivered,994,6958,197,SF Warehouse
ORD0090,S944,Gordon-Allen,C397,Wendy Garza,2,2025-02-20,2025-02-12,Shipped,65,130,181,SF Warehouse
ORD0091,S109,Miller-Villegas,C1192,Kyle Jensen,10,2025-02-22,2025-01-16,Shipped,286,2860,164,LA Warehouse
ORD0092,S179,Henry Ltd,C692,Jeffrey Anderson,1,2025-02-26,2025-01-08,Shipped,684,684,146,SF Warehouse
ORD0093,S1185,"Wise, Spencer and Lynch",C769,Willie Brown,5,2025-02-04,2025-01-03,Shipped,901,4505,52,SF Warehouse
ORD0094,S868,"Santos, Hernandez and Miller",C947,Carrie Jones,9,2025-01-03,2025-02-24,Delivered,672,6048,136,LA Warehouse
ORD0095,S1090,Martinez and Sons,C467,Anthony Wade,6,2025-03-01,2025-02-15,Shipped,434,2604,17,NY Warehouse
ORD0096,S705,Gonzales Inc,C086,Carlos Howard,6,2025-01-09,2025-01-19,Delivered,64,384,132,SF Warehouse
ORD0097,S242,"Taylor, Greene and Barber",C941,Jennifer Burton,1,2025-02-04,2025-01-01,Pending,339,339,158,SF Warehouse
ORD0098,S619,Gonzalez Inc,C431,Matthew Guerra,1,2025-01-10,2025-01-22,Delivered,895,895,25,NY Warehouse
ORD0099,S482,Bailey Ltd,C457,Michelle Dillon,9,2025-03-01,2025-01-13,Shipped,284,2556,75,SF Warehouse
ORD0100,S537,Hernandez and Sons,C566,Rachel Underwood,4,2025-01-25,2025-01-12,Pending,457,1828,123,SF Warehouse
ORD0101,S708,Bruce-Harvey,C1163,Cheyenne Crawford,5,2025-01-14,2025-01-25,Shipped,540,2700,183,LA Warehouse
ORD0102,S242,"Taylor, Greene and Barber",C937,Ryan Turner,10,2025-02-20,2025-01-19,Shipped,378,3780,200,LA Warehouse
ORD0103,S490,Pratt and Sons,C1174,Zachary Mcclain,8,2025-01-11,2025-01-15,Delivered,368,2944,174,SF Warehouse
ORD0104,S260,Martin Inc,C1014,Robert Castillo,6,2025-01-05,2025-01-09,Delivered,549,3294,106,NY Warehouse
ORD0105,S004,Roman LLC,C1132,Anthony Horton,1,2025-01-10,2025-01-11,Pending,838,838,181,SF Warehouse
ORD0106,S736,Roman-Olson,C932,Louis Fowler,5,2025-01-21,2025-03-01,Shipped,103,515,89,SF Warehouse
ORD0107,S961,"Smith, Brown and Mills",C701,James Clements,3,2025-01-21,2025-02-03,Delivered,897,2691,83,SF Warehouse
ORD0108,S358,Hunter-Holland,C435,Olivia West,4,2025-01-14,2025-01-03,Delivered,176,704,74,NY Warehouse
ORD0109,S752,"Dalton, Farley and Owen",C081,Tara Perez,4,2025-02-12,2025-01-26,Pending,553,2212,155,LA Warehouse
ORD0110,S203,"Smith, Thomas and Campbell",C835,Bruce Brown,6,2025-01-29,2025-01-12,Shipped,669,4014,104,SF Warehouse
ORD0111,S031,"Keith, Flowers and Alexander",C969,David Dunn,1,2025-01-19,2025-02-16,Pending,952,952,120,SF Warehouse
ORD0112,S623,"Silva, Chang and Moore",C926,Stacy Holmes,4,2025-02-09,2025-02-09,Shipped,776,3104,113,LA Warehouse
ORD0113,S505,Harmon Inc,C169,Joseph Ingram,4,2025-02-18,2025-01-24,Pending,150,600,149,SF Warehouse
ORD0114,S104,"Spencer, Phillips and Hayes",C396,Deborah Watkins,5,2025-01-09,2025-01-16,Delivered,185,925,127,SF Warehouse
ORD0115,S941,Davis-Fisher,C178,Michael Ramirez,7,2025-01-27,2025-01-26,Pending,950,6650,12,SF Warehouse
ORD0116,S593,Bradshaw Inc,C1103,Patricia Jackson,5,2025-03-05,2025-01-30,Shipped,491,2455,179,LA Warehouse
ORD0117,S488,"Allen, Valdez and Wilson",C675,Elizabeth Arnold,10,2025-01-22,2025-01-30,Delivered,404,4040,133,LA Warehouse
ORD0118,S1136,Schmidt-Shah,C111,Taylor Noble,4,2025-02-03,2025-02-27,Shipped,784,3136,183,NY Warehouse
ORD0119,S1135,"Gardner, Smith and Buck",C518,Larry Walker,1,2025-01-23,2025-01-03,Delivered,661,661,132,LA Warehouse
ORD0120,S107,Leblanc-Parker,C1062,Jose King,10,2025-01-20,2025-02-04,Delivered,475,4750,87,LA Warehouse
ORD0121,S205,"Weber, Lopez and Stewart",C968,Douglas Ferguson,9,2025-03-04,2025-02-16,Shipped,869,7821,64,NY Warehouse
ORD0122,S926,"Rodriguez, Tyler and Barber",C981,Christian Wolf Jr.,7,2025-02-01,2025-01-19,Pending,932,6524,197,LA Warehouse
ORD0123,S1017,Short Inc,C002,Victoria Butler,4,2025-01-25,2025-01-17,Delivered,187,748,72,NY Warehouse
ORD0124,S499,Navarro Ltd,C300,Sherri Warner,9,2025-02-23,2025-02-08,Shipped,963,8667,14,LA Warehouse
ORD0125,S787,Taylor and Sons,C702,Louis Stephens,3,2025-02-03,2025-02-17,Delivered,711,2133,107,NY Warehouse
ORD0126,S1148,Rivera Ltd,C967,Catherine Skinner,10,2025-02-06,2025-01-14,Delivered,505,5050,46,NY Warehouse
ORD0127,S026,Thomas Group,C1103,Patricia Jackson,3,2025-01-24,2025-03-05,Shipped,209,627,163,NY Warehouse
ORD0128,S918,Reyes and Sons,C168,Michelle Saunders,6,2025-01-31,2025-02-20,Pending,396,2376,103,LA Warehouse
ORD0129,S1145,"Tran, Martin and Thomas",C705,Nicholas Phillips,9,2025-02-26,2025-01-19,Delivered,577,5193,87,SF Warehouse
ORD0130,S787,Taylor and Sons,C734,Ashley Wallace MD,9,2025-03-04,2025-03-05,Delivered,650,5850,15,LA Warehouse
ORD0131,S219,"Miranda, Morgan and Alvarez",C649,Marvin Lee,9,2025-01-23,2025-02-25,Pending,631,5679,109,SF Warehouse
ORD0132,S147,Cunningham-Martin,C1192,Kyle Jensen,3,2025-02-11,2025-02-02,Delivered,281,843,101,SF Warehouse
ORD0133,S327,"Hammond, Ward and Smith",C368,Allen Watkins,5,2025-01-07,2025-02-18,Shipped,81,405,52,LA Warehouse
ORD0134,S536,Bailey-Jimenez,C243,Stephanie Morris,2,2025-01-31,2025-03-04,Shipped,187,374,60,NY Warehouse
ORD0135,S706,Bennett-Simmons,C904,Ethan Gallegos,8,2025-01-17,2025-01-19,Pending,924,7392,72,LA Warehouse
ORD0136,S440,"Kelley, Harrison and Reid",C068,Martin Pacheco,5,2025-02-21,2025-02-22,Delivered,942,4710,188,LA Warehouse
ORD0137,S164,"Cantu, Medina and Paul",C1055,Valerie Carpenter,6,2025-01-30,2025-01-30,Delivered,483,2898,154,LA Warehouse
ORD0138,S980,Davis LLC,C052,Paul Campbell,7,2025-01-14,2025-02-23,Pending,998,6986,57,SF Warehouse
ORD0139,S490,Pratt and Sons,C109,James Thomas,3,2025-01-15,2025-02-10,Pending,575,1725,10,NY Warehouse
ORD0140,S220,Martinez Inc,C391,Sean Duncan,2,2025-03-02,2025-03-03,Pending,339,678,37,LA Warehouse
ORD0141,S050,"Morales, Ball and Hernandez",C159,Samantha Aguilar,9,2025-01-13,2025-01-29,Shipped,42,378,162,NY Warehouse
ORD0142,S680,Taylor-Smith,C268,Tiffany Davis,3,2025-02-08,2025-02-20,Pending,663,1989,137,LA Warehouse
ORD0143,S931,Kelly Ltd,C1033,Mrs. Laura Hammond,7,2025-01-03,2025-02-01,Shipped,238,1666,6,LA Warehouse
ORD0144,S787,Taylor and Sons,C1065,David Rodriguez,2,2025-01-05,2025-01-25,Delivered,780,1560,2,SF Warehouse
ORD0145,S012,Eaton PLC,C101,Ashley Wheeler,2,2025-02-18,2025-02-25,Shipped,615,1230,98,LA Warehouse
ORD0146,S164,"Cantu, Medina and Paul",C1164,Ruben Turner,7,2025-02-09,2025-02-26,Shipped,520,3640,94,LA Warehouse
ORD0147,S494,"Martinez, Santos and Cooper",C534,Brendan Torres,6,2025-02-11,2025-01-04,Shipped,682,4092,192,NY Warehouse
ORD0148,S1146,Peterson and Sons,C205,Amy Smith,8,2025-02-21,2025-01-16,Delivered,110,880,97,NY Warehouse
ORD0149,S1136,Schmidt-Shah,C679,Sandra Carter,8,2025-02-27,2025-02-11,Shipped,654,5232,104,LA Warehouse
ORD0150,S226,Lambert-Farrell,C525,Kevin Johnson,10,2025-02-02,2025-02-22,Pending,263,2630,69,LA Warehouse
ORD0151,S585,Lee Ltd,C541,Amanda Mejia,8,2025-01-11,2025-02-11,Delivered,671,5368,148,LA Warehouse
ORD0152,S794,"Sanchez, Moore and Ray",C1056,Ashley Berry,1,2025-02-27,2025-01-05,Shipped,398,398,13,NY Warehouse
ORD0153,S408,Williamson Group,C124,Justin Avila,1,2025-01-17,2025-01-05,Delivered,351,351,8,SF Warehouse
ORD0154,S823,Wood-Mendez,C926,Stacy Holmes,6,2025-01-17,2025-01-31,Pending,762,4572,175,NY Warehouse
ORD0155,S678,Thompson-Sanford,C033,Bethany Brennan,7,2025-01-24,2025-01-09,Shipped,921,6447,34,SF Warehouse
ORD0156,S829,"Stevens, Rodgers and Cohen",C581,Lee Leonard,10,2025-01-01,2025-01-09,Shipped,332,3320,51,NY Warehouse
ORD0157,S777,Weaver-Walker,C1133,Dalton Burke,8,2025-03-04,2025-03-03,Delivered,949,7592,120,LA Warehouse
ORD0158,S681,"Mccarthy, Williams and Howard",C1049,Nicholas Herrera,8,2025-03-04,2025-01-05,Delivered,209,1672,62,NY Warehouse
ORD0159,S842,"Munoz, Reed and Lozano",C1200,Tanya Thomas,2,2025-01-04,2025-01-26,Delivered,80,160,147,SF Warehouse
ORD0160,S253,Taylor-Lee,C056,Linda Thomas,1,2025-01-09,2025-01-03,Pending,688,688,108,LA Warehouse
ORD0161,S1150,Pierce-Carter,C781,Randall Gibson,10,2025-02-07,2025-02-11,Delivered,22,220,59,NY Warehouse
ORD0162,S1158,Sosa-Maynard,C912,Jesse Stephens,6,2025-02-25,2025-02-15,Shipped,340,2040,132,SF Warehouse
ORD0163,S552,Carpenter-Woods,C1056,Ashley Berry,7,2025-03-03,2025-01-09,Shipped,209,1463,134,SF Warehouse
ORD0164,S515,"Reed, Moore and Adams",C951,Darius Kelly,2,2025-01-17,2025-02-08,Shipped,179,358,51,SF Warehouse
ORD0165,S261,"Gibson, Hughes and Hansen",C458,George Stevenson,1,2025-02-11,2025-02-23,Pending,698,698,184,NY Warehouse
ORD0166,S737,Buck-Ball,C207,Mary Atkins,2,2025-01-25,2025-01-17,Shipped,60,120,161,LA Warehouse
ORD0167,S084,"Davidson, Joseph and Carroll",C777,Betty Willis,3,2025-01-15,2025-03-05,Delivered,985,2955,166,SF Warehouse
ORD0168,S732,Arnold-Andrews,C565,Christine Rosales MD,6,2025-01-31,2025-01-15,Pending,59,354,194,SF Warehouse
ORD0169,S761,Tucker and Sons,C1169,Wesley Williams,3,2025-01-16,2025-02-07,Pending,798,2394,159,SF Warehouse
ORD0170,S224,Mendoza Inc,C247,Jennifer Burns,9,2025-01-04,2025-02-20,Shipped,30,270,75,LA Warehouse
ORD0171,S442,Gonzalez Inc,C733,Rebecca Jenkins,4,2025-01-05,2025-01-29,Shipped,101,404,112,LA Warehouse
ORD0172,S393,Austin-Randall,C1041,Eugene Mendoza,1,2025-02-11,2025-01-20,Pending,647,647,191,SF Warehouse
ORD0173,S594,"Garcia, Morton and Price",C417,Douglas Patel,6,2025-01-01,2025-01-19,Delivered,757,4542,54,LA Warehouse
ORD0174,S201,Harvey-Rodriguez,C266,Monica Gregory,7,2025-02-17,2025-02-07,Pending,622,4354,118,NY Warehouse
ORD0175,S296,"Odom, White and Price",C590,Jessica Baker,9,2025-03-02,2025-01-10,Delivered,753,6777,174,NY Warehouse
ORD0176,S178,"Arnold, Jackson and Hawkins",C144,Joel Rush,7,2025-01-27,2025-02-10,Shipped,277,1939,35,NY Warehouse
ORD0177,S176,"Myers, Donaldson and Estrada",C072,Larry Nichols,7,2025-01-17,2025-01-19,Pending,77,539,95,SF Warehouse
ORD0178,S731,Williams Inc,C773,Robert Morris,2,2025-01-15,2025-02-06,Pending,975,1950,196,NY Warehouse
ORD0179,S738,"Richard, Yu and Patel",C873,Jonathan Green,8,2025-02-01,2025-02-28,Delivered,721,5768,101,NY Warehouse
ORD0180,S327,"Hammond, Ward and Smith",C477,Lauren Hamilton,4,2025-02-07,2025-02-06,Pending,473,1892,189,NY Warehouse
ORD0181,S008,Parks Group,C1086,Susan Paul,4,2025-02-26,2025-01-26,Delivered,110,440,10,SF Warehouse
ORD0182,S380,Evans PLC,C236,Maria Ruiz,7,2025-01-06,2025-02-27,Pending,48,336,108,SF Warehouse
ORD0183,S789,Gonzales LLC,C740,Grace Day,4,2025-02-05,2025-01-12,Shipped,336,1344,110,LA Warehouse
ORD0184,S1082,"Thomas, Cooper and Lopez",C769,Willie Brown,3,2025-02-21,2025-01-01,Delivered,337,1011,10,NY Warehouse
ORD0185,S192,Waters Group,C1083,Michael Ellis,9,2025-02-09,2025-02-13,Shipped,973,8757,135,NY Warehouse
ORD0186,S992,Williamson PLC,C684,Alexander Tate,3,2025-01-18,2025-01-24,Pending,339,1017,98,SF Warehouse
ORD0187,S159,Bates PLC,C282,Peggy Ward,4,2025-02-14,2025-02-26,Shipped,767,3068,181,SF Warehouse
ORD0188,S028,"Lane, Williams and Jones",C733,Rebecca Jenkins,7,2025-01-05,2025-02-01,Shipped,854,5978,27,LA Warehouse
ORD0189,S340,"Spencer, Vasquez and Long",C1040,Javier Miller,1,2025-01-03,2025-02-16,Delivered,150,150,69,NY Warehouse
ORD0190,S919,"Johnson, Walker and Rogers",C333,Scott Washington,10,2025-02-19,2025-02-01,Shipped,444,4440,143,LA Warehouse
ORD0191,S1074,"Williams, Simmons and Hernandez",C1151,Penny Kirby,8,2025-02-18,2025-01-06,Pending,986,7888,45,SF Warehouse
ORD0192,S1063,Sandoval-Cantrell,C129,Jesse Camacho,4,2025-02-14,2025-01-06,Pending,422,1688,99,LA Warehouse
ORD0193,S936,Coleman and Sons,C227,George Martin,4,2025-01-30,2025-01-08,Delivered,675,2700,103,LA Warehouse
ORD0194,S257,Kent-Lee,C672,Donna Arias,7,2025-01-11,2025-01-12,Delivered,453,3171,93,NY Warehouse
ORD0195,S1152,Singleton and Sons,C597,Brett Howell,5,2025-01-07,2025-02-26,Delivered,845,4225,141,SF Warehouse
ORD0196,S504,"Duncan, Gibson and Robles",C510,Jordan Walton DDS,3,2025-01-25,2025-02-03,Shipped,837,2511,150,NY Warehouse
ORD0197,S718,"Reynolds, Johnson and Morrow",C1107,Ann Barker,1,2025-01-05,2025-02-15,Delivered,499,499,92,NY Warehouse
ORD0198,S193,Taylor-Morgan,C821,Crystal Williams,2,2025-03-04,2025-01-19,Pending,955,1910,86,NY Warehouse
ORD0199,S280,Wright-Powell,C769,Willie Brown,4,2025-01-13,2025-02-28,Shipped,287,1148,160,SF Warehouse
ORD0200,S813,"Brown, Smith and Jensen",C628,Brandon Garcia,4,2025-01-29,2025-03-05,Shipped,733,2932,90,LA Warehouse
ORD0201,S581,Martin Ltd,C217,Robert Russell,8,2025-02-09,2025-01-04,Pending,782,6256,99,NY Warehouse
ORD0202,S121,Hall-Shields,C964,Todd Brown,3,2025-01-08,2025-03-01,Shipped,713,2139,13,LA Warehouse
ORD0203,S1108,Mccann-Bates,C884,Mason Gonzalez,10,2025-01-25,2025-01-05,Delivered,337,3370,121,LA Warehouse
ORD0204,S1100,Ramos-Miranda,C040,Edward Reeves,10,2025-01-18,2025-01-08,Pending,344,3440,153,NY Warehouse
ORD0205,S394,Flores-Mercado,C316,James Smith,10,2025-01-09,2025-01-20,Shipped,97,970,135,LA Warehouse
ORD0206,S210,Williams and Sons,C1102,Christine Spencer,6,2025-02-07,2025-02-24,Shipped,590,3540,152,NY Warehouse
ORD0207,S198,Rodriguez-Cole,C258,Thomas Lopez,8,2025-02-27,2025-01-06,Shipped,124,992,111,NY Warehouse
